PlayerID,LastName,FirstName,Bats,Pitches,Team,X7
boudl101,Boudreau,Lou,R,R,CLE,SS
clara102,Clark,Allie,R,R,CLE,OF
conyh101,Conyers,Herb,L,R,CLE,1B
dobyl101,Doby,Larry,L,R,CLE,OF
eastl101,Easter,Luke,L,R,CLE,1B
fellb101,Feller,Bob,R,R,CLE,P
florj101,Flores,Jesse,R,R,CLE,P
garcm101,Garcia,Mike,R,R,CLE,P
gordj101,Gordon,Joe,R,R,CLE,2B
groms101,Gromek,Steve,B,R,CLE,P
hegaj101,Hegan,Jim,R,R,CLE,C
kennb104,Kennedy,Bob,R,R,CLE,OF
lemob101,Lemon,Bob,L,R,CLE,P
lemoj101,Lemon,Jim,R,R,CLE,OF
mitcd101,Mitchell,Dale,L,L,CLE,OF
murrr102,Murray,Ray,R,R,CLE,C
pierm101,Pieretti,Marino,R,R,CLE,P
rosea101,Rosen,Al,R,R,CLE,3B
rozed101,Rozek,Dick,L,L,CLE,P
tuckt102,Tucker,Thurman,L,R,CLE,OF
vernm101,Vernon,Mickey,L,L,CLE,1B
weikd101,Weik,Dick,R,R,CLE,P
wynne101,Wynn,Early,B,R,CLE,P
zolds101,Zoldak,Sam,L,L,CLE,P
berrn101,Berry,Neil,R,R,DET,SS
boroh101,Borowy,Hank,R,R,DET,P
calvp101,Calvert,Paul,R,R,DET,P
campp101,Campbell,Paul,L,L,DET,PR
connb103,Connelly,Bill,L,R,DET,P
everh101,Evers,Hoot,R,R,DET,OF
ginsj101,Ginsberg,Joe,L,R,DET,C
grayt101,Gray,Ted,B,L,DET,P
grotj102,Groth,Johnny,R,R,DET,OF
herbr101,Herbert,Ray,R,R,DET,P
housf103,House,Frank,L,R,DET,C
houta101,Houtteman,Art,R,R,DET,P
hutcf101,Hutchinson,Fred,L,R,DET,P
kellc101,Keller,Charlie,L,R,DET,OF
kellg102,Kell,George,R,R,DET,3B
kolld101,Kolloway,Don,R,R,DET,1B
kryhd101,Kryhoski,Dick,L,L,DET,1B
lakee101,Lake,Eddie,R,R,DET,3B
lipoj101,Lipon,Johnny,R,R,DET,SS
mullp101,Mullin,Pat,L,R,DET,OF
newhh101,Newhouser,Hal,L,L,DET,P
pridj101,Priddy,Jerry,R,R,DET,2B
robia101,Robinson,Aaron,L,R,DET,C
rogos101,Rogovin,Saul,R,R,DET,P
stuam101,Stuart,Marlin,L,R,DET,P
swifb102,Swift,Bob,R,R,DET,C
troud101,Trout,Dizzy,R,R,DET,P
trucv101,Trucks,Virgil,R,R,DET,P
wertv101,Wertz,Vic,L,R,DET,OF
whith101,White,Hal,R,R,DET,P
blace102,Blackwell,Ewell,R,R,CIN,X
campr102,Campanella,Roy,R,R,BRO,X
coopw102,Cooper,Walker,R,R,BSN,X
hodgg101,Hodges,Gil,R,R,BRO,X
jansl101,Jansen,Larry,R,R,NY1,X
jonew101,Jones,Willie,R,R,PHI,X
kiner101,Kiner,Ralph,R,R,PIT,X
konsj101,Konstanty,Jim,R,R,PHI,X
marim101,Marion,Marty,R,R,SLN,X
musis101,Musial,Stan,L,L,SLN,X
newcd101,Newcombe,Don,L,R,BRO,X
pafka101,Pafko,Andy,R,R,CHN,X
reesp101,Reese,Peewee,R,R,BRO,X
rober102,Roberts,Robin,B,R,PHI,X
robij103,Robinson,Jackie,R,R,BRO,X
roe-p101,Roe,Preacher,R,L,BRO,X
rushb101,Rush,Bob,R,R,CHN,X
saueh101,Sauer,Hank,R,R,CHN,X
schor101,Schoendienst,Red,B,R,SLN,X
sisld101,Sisler,Dick,L,R,PHI,X
slaue101,Slaughter,Enos,L,R,SLN,X
snidd101,Snider,Duke,L,R,BRO,X
spahw101,Spahn,Warren,L,L,BSN,X
stane101,Stanky,Eddie,R,R,NY1,X
wyroj101,Wyrostek,Johnny,L,R,CIN,X
blaym101,Blaylock,Marv,L,L,NY1,PH
calds101,Calderone,Sam,R,R,NY1,C
darka101,Dark,Al,R,R,NY1,SS
gilbt101,Gilbert,Tookie,L,R,NY1,1B
hansa101,Hansen,Andy,R,R,NY1,P
harsj101,Harshman,Jack,L,L,NY1,1B
hartc102,Hartung,Clint,R,R,NY1,P
hearj102,Hearn,Jim,R,R,NY1,P
higbk101,Higbe,Kirby,R,R,NY1,P
